scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,,
EC,28,B1,5549,F,3,FALSE,FALSE,5,1,7,4,8,No,FALSE,"6,1",4,,No Card,Struggles to fully empty hopper,,
JD,28,R1,5243,M,,FALSE,FALSE,0,0,5,3,3,No,FALSE,2,3,,No Card,,,
HR,28,R2,2106,F,3,TRUE,FALSE,16,5,1,5,0,No,FALSE,"1,2,6",5,,No Card,,,
AM,28,R3,3361,M,,FALSE,FALSE,0,7,1,0,4,No,FALSE,"6,3,2",1,"2,4,3",No Card,,,
CC,28,B3,8592,C,3,TRUE,FALSE,6,0,8,3,3,No,FALSE,"2,6",4,,No Card,,,
AZ,28,B2,2421,,,FALSE,FALSE,0,20,2,0,0,No,FALSE,,4,,No Card,No intake,,
EC,29,B1,10004,C,3,FALSE,FALSE,7,6,0,4,4,No,FALSE,"1,2",3,,No Card,Good turret system but the actual shooter struggles to pull fuel out of hopper,,
AM,29,R3,3748,,3,FALSE,FALSE,11,8,1,3,7,No,FALSE,"2,6,3",4,,No Card,,,
JD,29,R1,11318,M,,FALSE,FALSE,0,2,1,3,0,No,FALSE,"2,6",3,,No Card,Shooter got bent ,,
CL,29,R2,1389,C,3,TRUE,FALSE,6,0,4,3,2,No,FALSE,"2,6",2,,No Card,,,
CC,29,B3,4541,M,1,FALSE,FALSE,2,7,3,1,3,No,FALSE,"2,1,6,3",5,,No Card,,,
BP,29,B2,614,F,3,TRUE,FALSE,10,0,6,4,7,No,FALSE,"6,2",4,,No Card,Large hopper but empties quickly,,
BP,30,B2,1727,F,3,FALSE,FALSE,12,8,0,3,0,No,FALSE,1,4,,No Card,,,
AM,30,R3,449,F,3,TRUE,FALSE,20,10,2,5,6,No,FALSE,"1,2,6",5,,No Card,GOAT. ,,
CL,30,R2,10679,M,,FALSE,FALSE,5,5,0,0,0,No,FALSE,"2,4,5",4,,No Card,,,
JD,30,R1,3136,C,3,FALSE,FALSE,0,2,4,4,4,No,FALSE,"2,6",4,,No Card,,,
EC,30,B1,1111,C,,FALSE,FALSE,0,4,0,2,4,No,FALSE,2,3,,No Card,,,
CC,30,B3,1895,M,,FALSE,TRUE,2,6,0,1,4,No,FALSE,2,2,,No Card,Help HP,,
EC,31,B1,5338,C,3,TRUE,FALSE,16,7,0,7,2,No,FALSE,"2,6",3,,No Card,,,
CC,31,B3,540,F,3,FALSE,FALSE,20,10,0,4,3,No,FALSE,"4,2,6",5,,No Card,,,
JD,31,R1,619,M,,FALSE,FALSE,0,7,3,2,0,No,FALSE,"2,3,4",3,2,No Card,,,
AM,31,R3,836,C,3,FALSE,FALSE,13,9,5,8,0,No,FALSE,"2,3,6",5,,No Card,,,
BP,31,B2,1719,M,,FALSE,FALSE,2,10,6,0,0,No,FALSE,"4,2",3,4,No Card,Can41391t shoot? Only defensive and support,,
CL,31,R2,4099,F,3,FALSE,FALSE,10,7,0,3,0,No,FALSE,"4,2,6",3,,No Card,Turret stopped working so they played defense. Worked a little after,,
EC,32,B1,2377,M,1,FALSE,FALSE,8,4,0,4,9,No,FALSE,6,3,,No Card,,,
JD,32,R1,4472,,3,FALSE,FALSE,5,3,1,5,0,No,FALSE,"1,6",3,,No Card,,,
CL,32,R2,2068,M,,FALSE,FALSE,4,7,0,3,0,No,FALSE,"2,3,4",4,,No Card,,,
AM,32,R3,5804,C,3,TRUE,FALSE,2,0,5,0,9,No,FALSE,"1,2,6",3,,No Card,,,
CC,32,B3,122,F,3,TRUE,FALSE,20,2,6,4,6,No,FALSE,"2,6",3,,No Card,,,
BP,32,B2,1262,C,3,TRUE,FALSE,0,7,1,3,3,No,FALSE,"2,6",2,,No Card,Slow shooting and shot lineup,,
CC,33,B3,2890,F,2,FALSE,TRUE,10,1,5,2,3,No,FALSE,"2,1",2,3,No Card,,,
EC,33,B1,346,C,3,TRUE,FALSE,10,0,6,5,4,No,FALSE,"2,1",4,,No Card,,,
MY,33,R2,3939,M,3,FALSE,FALSE,11,8,0,2,3,No,FALSE,,3,,No Card,Made like 15 percent of shots,,
AM,33,R3,9033,,,FALSE,FALSE,0,5,5,2,0,No,FALSE,"2,4,6",4,,No Card,,,
JD,33,R1,9072,F,3,TRUE,FALSE,8,2,2,2,0,No,FALSE,,1,1,No Card,Intake broke and then stoped moving,,
BP,33,B2,346,C,3,TRUE,FALSE,10,0,3,5,5,No,FALSE,"2,6",4,3,No Card,Short surf bursts but overall great performance ,,
EC,34,B1,8590,M,,FALSE,FALSE,0,7,0,0,0,No,FALSE,"2,5,4",4,,No Card,"Shooter failed, played defense",,
AM,34,R3,5587,M,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,2,,No Card,,,
CC,34,B3,1629,C,3,FALSE,FALSE,10,5,3,5,4,No,FALSE,"2,1,3,6",4,,No Card,,,
BP,34,B2,8590,M,,FALSE,FALSE,0,7,0,0,0,No,FALSE,"4,5,6,2",3,,No Card,"No auto, did41391t shoot preload",,
JD,34,R1,2199,C,3,FALSE,FALSE,2,7,0,1,0,No,FALSE,6,1,1,No Card,,,
RY,34,R2,1908,F,3,TRUE,FALSE,13,0,6,5,3,No,FALSE,"1,6",5,,No Card,"Got defended in the trenches, could only go over bump for the entire game. Very high passsing arc from NZ to AZ. Shooting on the move is a little wonky",,
RY,34,B2,2537,F,,FALSE,FALSE,10,,,,,,,,,,,Preload middle,,
