"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"HR",81,"B3",9572,"C",56,FALSE,FALSE,0,3,2,0,0,"No",FALSE,6,3,NA,"No Card","Pretty good bps, lots of cycles, but were defended a lot",NA,NA
"LJ",81,"R1",8858,"C",3,FALSE,FALSE,2,5,0,1,5,"No",FALSE,4561,2,NA,"No Card","Shot mostly from the trench. Intake broke with more than a minute left, switched to defense. Able to avoid pin fouls, but ramming was ineffective. Did some blocking, but also meandered during end game.",NA,NA
"the real bAD man",81,"R2",8119,"F",5,FALSE,FALSE,0,6,6,0,0,"No",FALSE,136,4,NA,"No Card","Good bps, passing from OZ to AZ, shoots from close and far",NA,NA
"AM",81,"R3",614,"M",6,TRUE,FALSE,6,1,2,0,3,"No",FALSE,54,3,"2,6","No Card","Nearly beached themselves twice. Got stuck on bump, and didn»t shoot during teleop. Not their brightest match. Intake broken.",NA,NA
"BP",82,"B1",1768,"C",5,TRUE,FALSE,0,9,2,0,0,"No",FALSE,1236,5,NA,"No Card","Mid arc and near, very quick unload and great feeding",NA,NA
"CR",82,"B2",3931,"M",34,FALSE,FALSE,0,4,8,0,0,"No",FALSE,136,4,NA,"No Card","Intake broke during shift 5",NA,NA
"HR",82,"B3",4607,"F",NA,FALSE,FALSE,0,10,2,0,0,"No",FALSE,162,5,"t shoot anything, but they had good bps and lots of cycles","No Card","Auto didn",NA,NA
"LJ",82,"R1",7840,"F",5,FALSE,FALSE,8,8,0,1,8,"No",FALSE,136,3,NA,"No Card","Preferred far arc, no SOTM. Stayed mostly on left hand side of the field. Not super accurate and low throughput, struggled to cache a good amount of fuel in AZ",NA,NA
"the real bAD man",82,"R2",5577,"M",NA,FALSE,FALSE,0,0,0,0,0,"No",FALSE,NA,1,"1","No Card",NA,NA,NA
"AM",82,"R3",10034,"M",6,TRUE,FALSE,0,0,3,0,4,"No",FALSE,1,1,NA,"No Card","Didn't make shots it took. Never filled its hopper emnitrely. Good try but not optimal",NA,NA
"BP",83,"B1",6487,"F",3,TRUE,FALSE,0,10,2,0,0,"No",FALSE,62,2,NA,"No Card","Kept trying to intake after intake was visibly broken, didnt go to herding or defense once they became unable to intake and score fuel",NA,NA
"CR",83,"B2",11242,"M",NA,FALSE,FALSE,0,0,5,0,0,"No",TRUE,4,2,NA,"No Card","Intake seemed to be broken throughout the match, robot not heavy enough to play good defense",NA,NA
"HR",83,"B3",4087,"C",5,FALSE,FALSE,0,6,3,0,0,"No",FALSE,42,5,NA,"No Card","Double cycle auto, possibly something broke which led them to do D, like 3 &D. Tenacious D, locked down the bump, deflected shots, herded in transition.",NA,NA
"AZ",83,"R1",1756,"C",5,FALSE,FALSE,0,5,7,0,0,"No",FALSE,6,4,NA,"No Card","A lot of sweeps and small cycles",NA,NA
"the real bAD man",83,"R2",1506,"F",56,TRUE,FALSE,0,6,2,0,0,"No",FALSE,NA,4,NA,"No Card","Far arc and tower shot to avoid defense, good movement",NA,NA
"AM",83,"R3",11244,"M",1,FALSE,FALSE,10,1,1,3,4,"No",FALSE,26,3,NA,"No Card","Ok driving but their indexer sucks. They barfed balls just to agitate balls and fire from shooter. They have a small hopper capacity. Auto is not good. They did their best but it isn»t enough. Barely shot throughout.",NA,NA
"BP",84,"B1",4766,"C",51,TRUE,FALSE,0,4,4,0,0,"No",FALSE,463,2,NA,"No Card","Struggled under defense from opposing robots, near and mid arcs",NA,NA
"CR",84,"B2",2582,"F",34,TRUE,FALSE,0,5,3,0,0,"No",FALSE,61,4,NA,"No Card","They didn»t seem to be able to intake for the 1st half.",NA,NA
"HR",84,"B3",3082,"C",5,FALSE,FALSE,0,8,1,0,0,"No",FALSE,31264,4,NA,"No Card","Invaded OZ, did megapassing the whole match, sometimes even when they were near he AZ, they shot out of the field. Turret, 3 and D, hella power, played utility the whole match. Outpost at the end of the match",NA,NA
"AZ",84,"R1",4125,"F",5,TRUE,FALSE,0,8,6,0,0,"No",FALSE,34,3,"t understand their strategy","No Card","Mediocre driving, not a lot of full cycles, I don",NA,NA
"the real bAD man",84,"R2",6911,"M",1,FALSE,FALSE,0,5,3,0,0,"No",FALSE,164,3,NA,"No Card","Good long distance passing, typically sweeps back row while shooting",NA,NA
"BP",85,"B1",6429,"C",5,TRUE,FALSE,0,9,1,0,0,"No",FALSE,62,3,NA,"No Card","Decent cycler",NA,NA
"CR",85,"B2",4020,"F",3,FALSE,FALSE,0,5,3,0,0,"No",FALSE,1,3,NA,"No Card","Likes to cycle and pass from the left side, far away from the opponent hub",NA,NA
"HR",85,"B3",10980,"M",6,FALSE,FALSE,0,0,6,0,0,"No",FALSE,6,3,NA,"No Card","Citrus copy, but basically just bump bot hella inaccurate, kinda just diddled around during inactive, BPS low and took most of active to do a cycle/clean AZ",NA,NA
"AZ",85,"R1",3544,"C",3,FALSE,FALSE,0,14,0,0,0,"No",FALSE,341,3,NA,"No Card","Not great driving, heavy focus on passing however not ever good at doing so.",NA,NA
"the real bAD man",85,"R2",6665,"F",5,FALSE,FALSE,0,2,3,0,0,"No",FALSE,4,3,NA,"No Card","Good defense but a little aggressive, gave 30 penalty points to other team, no intake or shoot",NA,NA
"BP",86,"B1",2054,"C",62,FALSE,FALSE,0,0,6,0,0,"No",FALSE,2,2,NA,"No Card","Slow moving, hard to get over bump, low bps",NA,NA
"CR",86,"B2",2556,"F",3,FALSE,FALSE,0,5,6,0,0,"No",FALSE,16,3,NA,"No Card","Interesting 90 degree shooter, low bps, seems to only work on the left side of the field.",NA,NA
"HR",86,"B3",5181,"M",21,FALSE,FALSE,5,1,1,0,4,"No",FALSE,45,5,NA,"No Card","Extremely good defense. Their driving sets a good example, and we should consider them for defense. Their hopper capacity isn»t great and shooter is average. Needs more power.",NA,NA
"AZ",86,"R1",2635,"C",NA,FALSE,FALSE,0,0,7,0,0,"No",FALSE,NA,1,NA,"No Card","No intake, weird driving, no defense, didnt contribute",NA,NA
"the real bAD man",86,"R3",7415,"M",41,TRUE,FALSE,0,0,10,0,0,"No",FALSE,36,3,NA,"No Card","Missed first round of auto shots, got completely blocked by 5181",NA,NA
"BP",87,"B1",1690,"F",3,TRUE,FALSE,0,14,0,0,0,"No",FALSE,136,5,NA,"No Card","Got locked up in the corner for a little and undershot a lot then, otherwise impeccable feeding and quick shooting",NA,NA
"ADK",87,"B3",2813,"C",5,TRUE,FALSE,0,9,5,0,0,"No",FALSE,1,2,NA,"No Card","Strong passing and solid shooting but several collisions with alliance partners while intaking and shooting",NA,NA
"AZ",87,"R1",5653,"M",1,FALSE,FALSE,0,12,0,0,0,"No",FALSE,1,1,NA,"No Card","Low bps, poor cycles, not a lot of throughput",NA,NA
"the real bAD man",87,"R2",51,"C",3,FALSE,FALSE,0,2,2,0,0,"No",FALSE,6,3,NA,"No Card","Nothing all that special, shot from far",NA,NA
"CR",87,"R3",6985,"F",6,TRUE,FALSE,0,0,3,0,0,"No",FALSE,4,3,NA,"No Card","Played hard defense in OZ, which disrupted 1690s turret significantly",NA,NA
"BP",88,"B1",10991,"M",NA,FALSE,FALSE,0,7,0,0,0,"No",FALSE,456,1,NA,"No Card","Not very effective at defense, bps and intake speed low, not great driving overall either",NA,NA
"CR",88,"B2",4322,"F",34,FALSE,FALSE,0,10,2,0,0,"No",FALSE,12,2,NA,"No Card","Their intake broke partway through, but somehow started working again a while later.",NA,NA
"ADK",88,"B3",2231,"C",5,TRUE,FALSE,0,5,7,0,0,"No",FALSE,1,3,NA,"No Card","Some difficult going over bump, good adaptation to defense, shoot on the move works well without loss of accuracy",NA,NA
"AZ",88,"R1",16,"C",3,FALSE,FALSE,0,7,5,0,0,"No",FALSE,3,2,NA,"No Card","Vulnerable to defense or blocking, no full pass ability it seems, not best driving",NA,NA
"the real bAD man",88,"R2",2393,"M",NA,FALSE,FALSE,0,2,4,0,0,"No",FALSE,16,3,NA,"No Card","Kinda slow drive base, near arc shot",NA,NA
"BP",89,"B1",2468,"F",3,TRUE,FALSE,0,8,4,0,0,"No",FALSE,316,5,NA,"No Card","Is good at stealing from opposing zones, passing it back, repeat until their shift",NA,NA
"CR",89,"B2",11417,"M",NA,FALSE,FALSE,0,2,0,0,0,"No",FALSE,4,3,NA,"No Card","Tries to play defense, but is too light.",NA,NA
"ADK",89,"B3",8159,"F",5,FALSE,FALSE,0,10,0,0,0,"No",FALSE,1,2,NA,"No Card","Definite indexing issues, inconsistent fire rate but accurate when working",NA,NA
"AZ",89,"R1",4450,"C",3,FALSE,FALSE,0,8,2,0,0,"No",FALSE,6,3,NA,"No Card","Questionable indexing¡ hmm idk",NA,NA
"the real bAD man",89,"R2",1391,"F",56,TRUE,FALSE,0,6,0,0,0,"No",FALSE,62,4,NA,"No Card","Second auto cycle failed, high bps, good cycles",NA,NA
"BP",90,"B1",3753,"C",5,FALSE,FALSE,0,6,2,0,0,"No",FALSE,62,2,NA,"No Card","Some aim issues; entire volley was misaligned in auto, some more misses throughout. Also not the best bps",NA,NA
"CR",90,"B2",8069,"M",NA,FALSE,FALSE,0,6,1,0,0,"No",FALSE,462,2,NA,"No Card","Basically Kitbot with small over bumper intake. Decent defendedr, but left to bulldoze at the end for some reason.",NA,NA
"ADK",90,"B3",111,"F",4,TRUE,FALSE,0,0,8,0,0,"No",FALSE,1,1,NA,"No Card","Significantly hindered by defense, though they technically passed only about 10 balls made to the AZ due to low accuracy and fire rate",NA,NA
"AZ",90,"R1",7769,"F",5,FALSE,FALSE,0,7,7,0,0,"No",FALSE,16,5,NA,"No Card","Good driving, consistent bps, utilities bump heavily(compared to others) and can avoid defense",NA,NA
"the real bAD man",90,"R2",4607,"C",3,FALSE,FALSE,0,13,1,0,0,"No",FALSE,463,4,NA,"No Card","Really good fast smooth movement, good cycle, did not shoot much but helped clear back of AZ",NA,NA
"BP",91,"B1",3501,"F",4,TRUE,FALSE,0,0,8,0,0,"No",FALSE,621,3,NA,"No Card","Good passing but accuracy decreases a lot when defended",NA,NA
"CR",91,"B2",614,"M",6,FALSE,FALSE,0,0,8,0,0,"No",FALSE,43,1,"2","No Card","Intake and hopper extension jammed partway through. In the endgame, they abandoned defense to try to climb, and failed, getting in their teammates way in the process. I expected more from a CHS team",NA,NA
"ADK",91,"B3",7840,"C",5,FALSE,FALSE,0,5,2,0,0,"No",FALSE,4,1,NA,"No Card","Did not shoot nor pass a single ball, defense was ineffective and did not hinder opponent",NA,NA
"AZ",91,"R1",931,"M",NA,FALSE,FALSE,0,0,1,0,0,"No",FALSE,NA,1,"1","No Card","Broken swerve no driving but auto climb successful!",NA,NA
"the real bAD man",91,"R2",1506,"F",56,TRUE,FALSE,0,10,2,0,0,"No",FALSE,2436,4,NA,"No Card","Really good movement and high bps,",NA,NA
"BP",92,"B1",3931,"F",3,TRUE,FALSE,0,7,3,0,0,"No",FALSE,61,3,NA,"No Card","Full field passing slightly inaccurate",NA,NA
"CR",92,"B2",3243,"C",5,FALSE,FALSE,0,10,2,0,0,"No",FALSE,162,4,NA,"No Card","Only used the bump during endgame",NA,NA
"ADK",92,"B3",11242,"M",NA,FALSE,FALSE,0,0,3,0,0,"No",FALSE,NA,1,NA,"No Card","Climb in auto, did not shoot or play defense for rest of match just sat in NZ",NA,NA
"AZ",92,"R1",4469,"F",5,TRUE,FALSE,0,1,13,0,3,"No",FALSE,13,1,NA,"No Card","Lower bps but is very prepared, put up a lot of points, solid dumper, good auto, trench is secondary for them, they prefer bump,",NA,NA
"the real bAD man",92,"R2",4766,"M",2,FALSE,FALSE,0,9,1,0,0,"No",FALSE,346,4,NA,"No Card","Almost always hub shot, had a climb up didn»t use it.",NA,NA
